epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,264.128,1.1712,2.35919,1.41912,0.01108,0.96154,0.3237,0.17889,1.3501,2.83731,1.49452,0.00052,0.00052,0.00052
2,482.413,1.31186,1.79757,1.50971,0.29847,0.47115,0.24725,0.12106,1.47821,2.60824,1.75909,0.00103901,0.00103901,0.00103901
3,685.801,1.37609,1.76867,1.56419,0.47121,0.28846,0.30216,0.15588,1.7105,2.73462,2.16775,0.00153664,0.00153664,0.00153664
4,864.522,1.41824,1.71526,1.59675,0.31359,0.41734,0.22355,0.11365,1.75852,2.88624,2.08089,0.0018812,0.0018812,0.0018812
5,1047.59,1.33604,1.57248,1.51896,0.31191,0.5,0.26525,0.08822,2.05489,2.85321,2.35374,0.0018416,0.0018416,0.0018416
6,1229.46,1.33124,1.53828,1.53435,0.1296,0.23077,0.07468,0.02447,2.38504,3.54422,2.56473,0.001802,0.001802,0.001802
7,1406.64,1.36924,1.50455,1.54848,0.09931,0.23077,0.04956,0.01258,2.69162,3.69245,3.37379,0.0017624,0.0017624,0.0017624
8,1578.99,1.35249,1.41168,1.52087,0.54888,0.67308,0.51911,0.33897,1.17654,1.72006,1.41209,0.0017228,0.0017228,0.0017228
9,1764.14,1.3275,1.41183,1.48891,0.56899,0.625,0.58291,0.36388,1.19218,1.53193,1.38836,0.0016832,0.0016832,0.0016832
10,1936.23,1.28148,1.34466,1.46491,0.49882,0.52885,0.53092,0.33534,1.25896,1.87816,1.5458,0.0016436,0.0016436,0.0016436
11,2099.9,1.2609,1.25527,1.47594,0.58944,0.53846,0.54185,0.39602,1.17304,1.68029,1.39546,0.001604,0.001604,0.001604
12,2274.2,1.20798,1.19612,1.42564,0.54664,0.68405,0.5087,0.34869,1.10553,1.60384,1.33168,0.0015644,0.0015644,0.0015644
13,2453.56,1.23499,1.18671,1.43901,0.5628,0.54808,0.48822,0.30187,1.21413,1.6243,1.42925,0.0015248,0.0015248,0.0015248
14,2633.48,1.18009,1.13225,1.40117,0.76948,0.58654,0.67603,0.40942,1.34134,1.44577,1.53447,0.0014852,0.0014852,0.0014852
15,2815.39,1.20814,1.19139,1.43458,0.68295,0.625,0.61141,0.42138,1.21337,1.27993,1.39956,0.0014456,0.0014456,0.0014456
16,2997,1.15475,1.113,1.38708,0.63299,0.69655,0.65239,0.47008,1.09989,1.33206,1.34224,0.001406,0.001406,0.001406
17,3172.52,1.1405,1.08483,1.3691,0.60193,0.61538,0.55088,0.37824,1.26224,1.69112,1.45026,0.0013664,0.0013664,0.0013664
18,3337.26,1.11228,1.05904,1.33418,0.65657,0.57692,0.63622,0.39126,1.15412,1.52707,1.34582,0.0013268,0.0013268,0.0013268
19,3496.33,1.10419,1.06554,1.35607,0.43045,0.60577,0.44477,0.22039,1.60668,1.84072,1.66219,0.0012872,0.0012872,0.0012872
20,3666.15,1.11409,1.02504,1.34125,0.64723,0.61747,0.61328,0.37734,1.3697,1.47832,1.4284,0.0012476,0.0012476,0.0012476
21,3836.56,1.0912,1.01657,1.34263,0.6523,0.70192,0.7216,0.51783,1.06871,1.22457,1.26632,0.001208,0.001208,0.001208
22,4002.34,1.08285,1.02018,1.33689,0.63854,0.86538,0.7464,0.53929,1.0314,1.01654,1.24794,0.0011684,0.0011684,0.0011684
23,4169.73,1.08576,0.93063,1.33122,0.6626,0.64423,0.71538,0.51947,0.98466,1.13735,1.21851,0.0011288,0.0011288,0.0011288
24,4335.71,1.10221,0.97981,1.32689,0.65503,0.78509,0.70917,0.51148,1.02555,1.12813,1.30614,0.0010892,0.0010892,0.0010892
25,4503.81,1.02025,0.93248,1.29622,0.58226,0.67013,0.66556,0.49096,1.0299,1.24686,1.28632,0.0010496,0.0010496,0.0010496
26,4668.77,1.05822,0.90686,1.2899,0.63417,0.75007,0.74744,0.54257,0.95367,1.07981,1.18848,0.00101,0.00101,0.00101
27,4815.58,1.0377,0.89187,1.29676,0.67471,0.76923,0.77643,0.6083,0.83321,0.9927,1.12015,0.0009704,0.0009704,0.0009704
28,4962.23,1.02221,0.93256,1.29245,0.77181,0.67308,0.74669,0.56706,0.9646,1.26471,1.21531,0.0009308,0.0009308,0.0009308
29,5108.68,1.02625,0.8975,1.29415,0.64712,0.75822,0.71699,0.52782,0.9162,1.02374,1.15582,0.0008912,0.0008912,0.0008912
30,5287.74,0.97384,0.83257,1.23832,0.72209,0.80769,0.79773,0.61866,0.87605,0.94845,1.12595,0.0008516,0.0008516,0.0008516
31,5476.43,0.96886,0.83693,1.25339,0.70118,0.85739,0.81297,0.61543,0.90891,0.85816,1.13632,0.000812,0.000812,0.000812
32,5650.95,0.96602,0.83869,1.25646,0.71709,0.85305,0.84555,0.63504,0.89478,0.81714,1.13335,0.0007724,0.0007724,0.0007724
33,5826.23,0.97361,0.81616,1.27471,0.79614,0.73077,0.80248,0.6125,0.89991,0.88929,1.15461,0.0007328,0.0007328,0.0007328
34,89547.3,0.92815,0.82208,1.2417,0.7732,0.65564,0.75375,0.60543,0.86941,0.99848,1.13196,0.0006932,0.0006932,0.0006932
35,89820.7,0.94291,0.81254,1.24081,0.68976,0.77885,0.76163,0.58862,0.84803,0.88608,1.11016,0.0006536,0.0006536,0.0006536
36,90058.5,0.86094,0.7223,1.18162,0.69682,0.79559,0.80934,0.63265,0.82639,0.88254,1.08415,0.000614,0.000614,0.000614
37,90215.4,0.90601,0.76036,1.22243,0.74657,0.67984,0.77156,0.60567,0.90538,1.11906,1.14289,0.0005744,0.0005744,0.0005744
38,90373.5,0.88319,0.74763,1.18191,0.73871,0.76923,0.82287,0.6413,0.83567,0.90835,1.09904,0.0005348,0.0005348,0.0005348
39,90529.5,0.8939,0.74297,1.20029,0.76134,0.79752,0.8432,0.6693,0.81534,0.81194,1.0871,0.0004952,0.0004952,0.0004952
40,90685.8,0.90366,0.7584,1.19958,0.82829,0.69575,0.81249,0.64262,0.81663,0.93038,1.0837,0.0004556,0.0004556,0.0004556
41,90840.5,0.80144,0.71358,1.16969,0.75802,0.82692,0.84624,0.6715,0.7903,0.81147,1.05779,0.000416,0.000416,0.000416
42,90995.5,0.79358,0.66461,1.18721,0.71361,0.75,0.7983,0.63712,0.79601,0.9405,1.09181,0.0003764,0.0003764,0.0003764
43,91151.7,0.76498,0.62488,1.15757,0.80087,0.75,0.83518,0.6392,0.80974,0.78392,1.07986,0.0003368,0.0003368,0.0003368
44,91308.3,0.76106,0.61945,1.17477,0.7796,0.78228,0.83409,0.63238,0.83096,0.81944,1.09614,0.0002972,0.0002972,0.0002972
45,91465.2,0.74714,0.60603,1.1367,0.78203,0.76923,0.82389,0.64146,0.77813,0.84582,1.05302,0.0002576,0.0002576,0.0002576
46,91620.7,0.73254,0.57423,1.1521,0.74888,0.77425,0.8346,0.66247,0.8031,0.86579,1.06279,0.000218,0.000218,0.000218
47,91776.5,0.7031,0.57553,1.11477,0.72708,0.84615,0.84276,0.66569,0.82152,0.77657,1.0654,0.0001784,0.0001784,0.0001784
48,91931.8,0.69118,0.54941,1.11275,0.79428,0.85387,0.86491,0.68882,0.77921,0.75072,1.04218,0.0001388,0.0001388,0.0001388
49,92088.4,0.68307,0.53215,1.12881,0.75978,0.85156,0.8644,0.68585,0.77921,0.74133,1.0368,9.92e-05,9.92e-05,9.92e-05
50,92244.8,0.69045,0.5435,1.1116,0.76604,0.85005,0.86935,0.69322,0.78287,0.74143,1.04072,5.96e-05,5.96e-05,5.96e-05
