epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.6293,1.33611,2.86921,1.64364,0.57453,0.85,0.87817,0.63489,1.64855,1.07041,1.38313,0,0,0
2,13.2617,1.20416,2.69406,1.511,0.56574,0.85,0.8488,0.6319,1.64595,1.06034,1.37349,1.17822e-06,1.17822e-06,1.17822e-06
3,15.7326,1.16009,3.63341,1.57315,0.55956,0.85,0.85083,0.61618,1.66648,1.0611,1.37909,2.33288e-06,2.33288e-06,2.33288e-06
4,18.2426,1.27724,2.74018,1.38866,0.56026,0.85,0.84952,0.61586,1.66034,1.05357,1.37779,3.46397e-06,3.46397e-06,3.46397e-06
5,20.7094,1.37198,3.08503,1.72634,0.5651,0.85,0.85526,0.63771,1.6585,1.04085,1.37136,4.5715e-06,4.5715e-06,4.5715e-06
6,23.1536,1.56189,4.11418,1.96485,0.54414,0.85,0.8936,0.63825,1.68524,1.05847,1.37761,5.65548e-06,5.65548e-06,5.65548e-06
7,25.5792,1.13976,1.91306,1.41952,0.53944,0.85172,0.89406,0.64255,1.68389,1.05926,1.37699,6.71588e-06,6.71588e-06,6.71588e-06
8,27.9666,1.37611,4.01878,1.61443,0.55029,0.85949,0.85911,0.61257,1.64324,1.0573,1.3529,7.75273e-06,7.75273e-06,7.75273e-06
9,34.0227,1.11618,2.70406,1.41099,0.56884,0.86386,0.81827,0.59503,1.66472,1.05931,1.36335,8.76602e-06,8.76602e-06,8.76602e-06
10,36.4949,1.18655,3.4473,1.59516,0.57996,0.86406,0.81417,0.59502,1.65654,1.0565,1.35665,9.75574e-06,9.75574e-06,9.75574e-06
11,38.9515,1.20761,2.4692,1.45278,0.59064,0.8637,0.85595,0.61995,1.6537,1.06313,1.35595,1.07219e-05,1.07219e-05,1.07219e-05
12,46.7116,0.9914,2.00611,1.36598,0.58565,0.86399,0.85561,0.62083,1.66274,1.07365,1.36357,1.16645e-05,1.16645e-05,1.16645e-05
13,53.9145,0.87115,2.2381,1.132,0.59052,0.86667,0.85501,0.62082,1.64956,1.07339,1.35354,1.25835e-05,1.25835e-05,1.25835e-05
14,56.2657,1.0832,2.18871,1.4836,0.59793,0.86667,0.88803,0.62731,1.65287,1.09391,1.35796,1.3479e-05,1.3479e-05,1.3479e-05
15,63.2957,0.92887,1.64808,1.12293,0.60723,0.86667,0.88802,0.62731,1.65193,1.1015,1.35905,1.43509e-05,1.43509e-05,1.43509e-05
16,65.6883,1.22336,2.48055,1.62356,0.61055,0.86667,0.87512,0.62676,1.66354,1.12302,1.36866,1.51993e-05,1.51993e-05,1.51993e-05
17,68.1173,0.84439,1.78458,1.19115,0.62052,0.7,0.87291,0.62795,1.66267,1.13338,1.37159,1.60241e-05,1.60241e-05,1.60241e-05
18,70.5782,1.1567,1.55192,1.36044,0.62052,0.7,0.87291,0.62795,1.66267,1.13338,1.37159,1.68253e-05,1.68253e-05,1.68253e-05
19,73.0659,0.97843,1.90563,1.1355,0.77483,0.65,0.86188,0.61114,1.66974,1.17698,1.38057,1.7603e-05,1.7603e-05,1.7603e-05
20,75.4508,0.89711,1.53574,1.21097,0.77483,0.65,0.86188,0.61114,1.66974,1.17698,1.38057,1.83571e-05,1.83571e-05,1.83571e-05
21,82.2685,1.29223,2.49851,1.71343,0.77119,0.65,0.85531,0.6099,1.68239,1.21228,1.38742,1.90876e-05,1.90876e-05,1.90876e-05
22,84.6262,1.08325,2.33907,1.51913,0.77119,0.65,0.85531,0.6099,1.68239,1.21228,1.38742,1.97946e-05,1.97946e-05,1.97946e-05
23,86.9724,1.05868,1.82063,1.47226,0.74589,0.65,0.85514,0.6192,1.68139,1.23201,1.38513,2.0478e-05,2.0478e-05,2.0478e-05
24,89.373,1.12425,2.21395,1.54038,0.74589,0.65,0.85514,0.6192,1.68139,1.23201,1.38513,2.11379e-05,2.11379e-05,2.11379e-05
25,91.8291,0.83464,1.46993,1.21033,0.71049,0.65473,0.85534,0.61104,1.68177,1.27398,1.38484,2.17741e-05,2.17741e-05,2.17741e-05
26,98.8589,1.15282,1.85952,1.45066,0.71049,0.65473,0.85534,0.61104,1.68177,1.27398,1.38484,2.23869e-05,2.23869e-05,2.23869e-05
27,101.336,0.91843,1.67098,1.39784,0.70524,0.6685,0.85545,0.61336,1.70263,1.30263,1.3997,2.2976e-05,2.2976e-05,2.2976e-05
28,103.815,0.80107,1.24172,1.1405,0.70524,0.6685,0.85545,0.61336,1.70263,1.30263,1.3997,2.35417e-05,2.35417e-05,2.35417e-05
29,106.248,0.99737,1.52716,1.27177,0.70067,0.67248,0.85551,0.61082,1.67136,1.30983,1.37932,2.40837e-05,2.40837e-05,2.40837e-05
30,132.588,1.26561,2.34979,1.59811,0.70067,0.67248,0.85551,0.61082,1.67136,1.30983,1.37932,2.46022e-05,2.46022e-05,2.46022e-05
31,169.163,0.97959,1.43339,1.29407,0.69189,0.66667,0.85204,0.60885,1.68169,1.34656,1.38517,2.50971e-05,2.50971e-05,2.50971e-05
32,179.486,0.81027,1.26021,1.21402,0.69189,0.66667,0.85204,0.60885,1.68169,1.34656,1.38517,2.55685e-05,2.55685e-05,2.55685e-05
33,184.213,0.78159,1.31857,1.3426,0.67239,0.68913,0.85241,0.60751,1.66716,1.37791,1.38123,2.60163e-05,2.60163e-05,2.60163e-05
34,188.351,1.05737,1.25162,1.31048,0.67239,0.68913,0.85241,0.60751,1.66716,1.37791,1.38123,2.64405e-05,2.64405e-05,2.64405e-05
35,192.256,0.88717,2.16525,1.30328,0.66429,0.7,0.85262,0.59109,1.68206,1.41237,1.38934,2.68412e-05,2.68412e-05,2.68412e-05
