epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.9289,1.4677,3.49894,1.33343,0.00593,0.88889,0.01582,0.01131,0.90454,3.46517,1.00423,0.00012,0.00012,0.00012
2,109.749,1.31362,2.82482,1.17901,0.00593,0.88889,0.53494,0.30418,1.12286,3.36113,1.00049,0.000254852,0.000254852,0.000254852
3,164.366,1.32233,1.81663,1.15383,0.00593,0.88889,0.77079,0.43741,1.24413,3.22753,1.0711,0.00038416,0.00038416,0.00038416
4,219.891,1.33656,1.69347,1.20506,0.00593,0.88889,0.83468,0.49739,1.28405,3.27501,1.07301,0.000507924,0.000507924,0.000507924
5,277.681,1.31365,1.59369,1.18712,0.00593,0.88889,0.87594,0.34004,0.90261,3.29977,0.92531,0.000626144,0.000626144,0.000626144
6,331.221,1.32473,1.5657,1.18811,0.00593,0.88889,0.79951,0.32353,1.0901,3.26663,1.02174,0.00073882,0.00073882,0.00073882
7,384.461,1.29334,1.35875,1.15733,0.00593,0.88889,0.71878,0.34137,0.93715,3.1157,0.9903,0.000845952,0.000845952,0.000845952
8,438.007,1.35309,1.38445,1.26994,0.00593,0.88889,0.69091,0.43429,1.3791,3.06566,1.16948,0.00094754,0.00094754,0.00094754
9,495.988,1.28987,1.36445,1.20423,0.00593,0.88889,0.72769,0.61176,0.96412,2.91787,1.02859,0.00104358,0.00104358,0.00104358
10,550.957,1.30348,1.33812,1.20613,0.17685,0.88889,0.88535,0.67525,0.97947,2.70452,1.0405,0.00113408,0.00113408,0.00113408
11,605.272,1.24727,1.19133,1.14584,1,0.73332,0.88535,0.67857,0.86371,2.29632,0.95177,0.00121904,0.00121904,0.00121904
12,658.63,1.18504,1.18356,1.15789,1,0.76129,0.83605,0.63922,1.0461,2.16808,1.02137,0.00129845,0.00129845,0.00129845
13,715.023,1.22945,1.21249,1.18264,1,0.74197,0.83596,0.67344,1.06689,2.28128,1.02586,0.00137232,0.00137232,0.00137232
14,768.578,1.20296,1.20722,1.18521,1,0.7002,0.77559,0.56639,1.10578,2.18521,1.01311,0.00144064,0.00144064,0.00144064
15,822.082,1.12615,1.08902,1.1386,0.99591,0.77778,0.84535,0.66797,1.0455,1.76887,1.00869,0.0014456,0.0014456,0.0014456
16,875.611,1.23826,1.06123,1.16517,0.98941,0.88889,0.88535,0.67452,1.06585,1.43523,0.97823,0.001406,0.001406,0.001406
17,931.778,1.22324,1.06798,1.15612,0.99165,0.88889,0.88535,0.66463,0.96674,1.35433,0.95537,0.0013664,0.0013664,0.0013664
