epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6350.48,1.00619,0.84923,1.26919,0.79108,0.71154,0.83204,0.62447,0.94096,0.88403,1.19939,0.0015941,0.0015941,0.0015941
43,6493.03,1.04448,0.86415,1.30088,0.74685,0.83654,0.82369,0.57365,1.03183,0.82971,1.26146,0.0015842,0.0015842,0.0015842
44,6643.85,1.00879,0.83829,1.26886,0.62562,0.79808,0.702,0.5156,0.96351,1.18037,1.17224,0.0015743,0.0015743,0.0015743
45,6804.9,1.01686,0.85263,1.29068,0.70668,0.78846,0.74253,0.53277,0.98196,0.91293,1.2277,0.0015644,0.0015644,0.0015644
46,6958.25,1.02164,0.86985,1.28556,0.60237,0.84615,0.77904,0.56053,0.95302,0.95044,1.18689,0.0015545,0.0015545,0.0015545
47,7114.09,1.0129,0.8569,1.27405,0.66042,0.82692,0.80827,0.62865,0.93951,0.89986,1.18864,0.0015446,0.0015446,0.0015446
48,7276.81,0.97449,0.8336,1.24804,0.7438,0.88462,0.82485,0.6217,0.90967,0.79663,1.12833,0.0015347,0.0015347,0.0015347
49,7422.57,1.00007,0.8327,1.24963,0.69857,0.89137,0.83665,0.63843,0.91517,0.80273,1.15583,0.0015248,0.0015248,0.0015248
50,7567.47,1.00482,0.83848,1.26326,0.72372,0.80769,0.79225,0.59208,0.96894,0.87709,1.18654,0.0015149,0.0015149,0.0015149
51,7713.73,0.94432,0.7846,1.22979,0.76342,0.82692,0.82281,0.62386,0.90577,0.80395,1.14441,0.001505,0.001505,0.001505
52,7858.99,0.9937,0.79144,1.26522,0.69586,0.77885,0.78426,0.60091,0.8366,0.88672,1.10897,0.0014951,0.0014951,0.0014951
53,8021.81,0.93115,0.80944,1.22324,0.77977,0.78306,0.81408,0.65826,0.86277,0.84331,1.13367,0.0014852,0.0014852,0.0014852
54,8204.03,0.9592,0.79588,1.2451,0.82179,0.7538,0.84825,0.6729,0.82871,0.847,1.1229,0.0014753,0.0014753,0.0014753
55,8346.18,0.95009,0.78588,1.24681,0.65599,0.80678,0.76254,0.54276,0.93108,0.93714,1.1893,0.0014654,0.0014654,0.0014654
56,8486.18,0.98649,0.80528,1.27376,0.63708,0.75,0.70457,0.53076,1.01841,1.07943,1.19961,0.0014555,0.0014555,0.0014555
57,8626.41,0.9947,0.79891,1.23168,0.71696,0.82812,0.81933,0.63263,0.80366,0.78124,1.07106,0.0014456,0.0014456,0.0014456
58,8766.4,0.94943,0.79165,1.228,0.8018,0.73907,0.78573,0.58953,0.95921,0.94063,1.19121,0.0014357,0.0014357,0.0014357
59,8906.27,0.96112,0.74705,1.24128,0.66516,0.74496,0.75156,0.56552,0.91819,0.92241,1.17147,0.0014258,0.0014258,0.0014258
60,9046.05,0.95591,0.7659,1.23836,0.76697,0.80769,0.83401,0.64701,0.91864,0.86532,1.17063,0.0014159,0.0014159,0.0014159
61,9185.48,0.95212,0.77743,1.22382,0.72224,0.8001,0.79324,0.60215,0.93552,0.91535,1.18062,0.001406,0.001406,0.001406
62,9324.91,0.90993,0.74968,1.22006,0.78009,0.6481,0.75767,0.5965,0.95279,1.09961,1.19324,0.0013961,0.0013961,0.0013961
63,9464.45,0.94492,0.74265,1.24117,0.78917,0.75585,0.843,0.63852,0.92474,0.73525,1.16755,0.0013862,0.0013862,0.0013862
64,9608.07,0.93405,0.77482,1.22176,0.79802,0.84615,0.86544,0.68218,0.81476,0.72279,1.10432,0.0013763,0.0013763,0.0013763
65,9748.2,0.91827,0.71646,1.20407,0.70068,0.85577,0.82751,0.63376,0.92273,0.82981,1.14638,0.0013664,0.0013664,0.0013664
66,9887.81,0.88936,0.71209,1.19047,0.7072,0.83607,0.83716,0.64285,0.89261,0.79928,1.12749,0.0013565,0.0013565,0.0013565
67,10027.3,0.90579,0.71208,1.20665,0.68304,0.86538,0.83242,0.65367,0.86204,0.8038,1.10265,0.0013466,0.0013466,0.0013466
68,10166.2,0.87841,0.73144,1.18612,0.67775,0.83654,0.79268,0.62247,0.86609,0.87366,1.10844,0.0013367,0.0013367,0.0013367
69,10306,0.89343,0.7254,1.19366,0.75333,0.71154,0.75913,0.58698,0.88361,0.90021,1.11003,0.0013268,0.0013268,0.0013268
