epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.3022,1.20255,2.43489,1.53431,0.54851,0.86177,0.8589,0.62876,1.65152,1.06238,1.35597,0,0,0
2,21.4952,1.0253,2.38763,1.38634,0.57174,0.86344,0.86072,0.62936,1.65636,1.06294,1.35843,1.16644e-06,1.16644e-06,1.16644e-06
3,26.5342,0.98826,3.25501,1.44903,0.57746,0.86436,0.85629,0.62799,1.66577,1.07457,1.36041,2.28575e-06,2.28575e-06,2.28575e-06
4,30.7915,1.11427,2.50315,1.31249,0.58229,0.86319,0.8549,0.62797,1.66002,1.07631,1.35904,3.35794e-06,3.35794e-06,3.35794e-06
5,34.9647,1.32153,2.69681,1.68539,0.58642,0.86423,0.85464,0.63763,1.67892,1.0877,1.36965,4.38301e-06,4.38301e-06,4.38301e-06
6,39.341,1.4676,3.93041,1.91044,0.61179,0.86533,0.8566,0.63895,1.68476,1.1117,1.3726,5.36095e-06,5.36095e-06,5.36095e-06
7,43.5735,1.01153,1.77255,1.33468,0.60429,0.86266,0.8562,0.63872,1.68477,1.11635,1.37285,6.29177e-06,6.29177e-06,6.29177e-06
8,47.6231,1.35786,3.82104,1.59356,0.59493,0.86394,0.85639,0.62218,1.72122,1.13774,1.38911,7.17546e-06,7.17546e-06,7.17546e-06
9,51.8954,1.06796,2.54236,1.37782,0.79061,0.65,0.87663,0.62608,1.72798,1.1524,1.39489,8.01203e-06,8.01203e-06,8.01203e-06
10,56.0914,1.16165,3.28745,1.56686,0.80023,0.65,0.8682,0.62894,1.74311,1.17509,1.40938,8.80148e-06,8.80148e-06,8.80148e-06
11,60.3828,1.16389,2.35276,1.42833,0.795,0.65,0.86456,0.64472,1.75463,1.18726,1.41867,9.5438e-06,9.5438e-06,9.5438e-06
12,64.5557,0.9897,1.93324,1.36932,0.7782,0.65058,0.85691,0.62477,1.75613,1.21141,1.42635,1.0239e-05,1.0239e-05,1.0239e-05
13,69.2988,0.85655,2.17926,1.12107,0.77765,0.65127,0.85667,0.64278,1.74507,1.208,1.41907,1.08871e-05,1.08871e-05,1.08871e-05
14,73.6633,1.04586,2.06517,1.46352,0.77747,0.65318,0.85654,0.64273,1.72803,1.22702,1.41199,1.1488e-05,1.1488e-05,1.1488e-05
15,78.6329,0.9273,1.60325,1.12141,0.76001,0.65,0.85461,0.6393,1.71408,1.23398,1.40682,1.20418e-05,1.20418e-05,1.20418e-05
16,83.6645,1.20962,2.42525,1.61299,0.74626,0.65,0.85639,0.63136,1.70961,1.25012,1.40732,1.25486e-05,1.25486e-05,1.25486e-05
17,87.8214,0.81379,1.7754,1.18327,0.72666,0.65,0.85417,0.60849,1.70078,1.25484,1.40527,1.30081e-05,1.30081e-05,1.30081e-05
18,91.8864,1.1433,1.53327,1.35296,0.72666,0.65,0.85417,0.60849,1.70078,1.25484,1.40527,1.34206e-05,1.34206e-05,1.34206e-05
19,96.1928,0.99154,1.91471,1.14357,0.7082,0.65,0.85441,0.60937,1.68764,1.28225,1.39488,1.37859e-05,1.37859e-05,1.37859e-05
20,100.536,0.91305,1.4815,1.21632,0.7082,0.65,0.85441,0.60937,1.68764,1.28225,1.39488,1.41041e-05,1.41041e-05,1.41041e-05
21,104.817,1.28112,2.60813,1.68352,0.70709,0.67059,0.85473,0.60927,1.70626,1.31852,1.40586,1.43752e-05,1.43752e-05,1.43752e-05
22,108.764,1.0829,2.37136,1.53715,0.70709,0.67059,0.85473,0.60927,1.70626,1.31852,1.40586,1.45992e-05,1.45992e-05,1.45992e-05
23,113.189,1.0657,1.84298,1.48038,0.6792,0.67697,0.85316,0.60894,1.72384,1.34899,1.40764,1.4776e-05,1.4776e-05,1.4776e-05
24,117.815,1.05009,2.23653,1.48309,0.6792,0.67697,0.85316,0.60894,1.72384,1.34899,1.40764,1.49057e-05,1.49057e-05,1.49057e-05
25,121.934,0.83297,1.48186,1.20684,0.63746,0.7,0.85397,0.60951,1.72471,1.37483,1.41333,1.49883e-05,1.49883e-05,1.49883e-05
26,126.003,1.15736,1.90728,1.45743,0.63746,0.7,0.85397,0.60951,1.72471,1.37483,1.41333,1.50238e-05,1.50238e-05,1.50238e-05
27,130.257,0.91255,1.78052,1.39575,0.87042,0.56667,0.8527,0.59544,1.73292,1.40812,1.41515,1.50121e-05,1.50121e-05,1.50121e-05
28,134.5,0.80028,1.32684,1.14273,0.87042,0.56667,0.8527,0.59544,1.73292,1.40812,1.41515,1.49533e-05,1.49533e-05,1.49533e-05
29,138.374,1.017,1.58636,1.28202,0.86924,0.56667,0.77006,0.52123,1.72377,1.39605,1.4102,1.48474e-05,1.48474e-05,1.48474e-05
30,142.133,1.30184,2.5028,1.64827,0.86924,0.56667,0.77006,0.52123,1.72377,1.39605,1.4102,1.46944e-05,1.46944e-05,1.46944e-05
31,147.231,0.9886,1.5183,1.29878,0.86285,0.56667,0.7703,0.52027,1.73919,1.42485,1.41666,1.44942e-05,1.44942e-05,1.44942e-05
32,151.476,0.82257,1.33253,1.22571,0.86285,0.56667,0.7703,0.52027,1.73919,1.42485,1.41666,1.42469e-05,1.42469e-05,1.42469e-05
33,155.798,0.9026,1.33219,1.42861,0.85084,0.56667,0.77084,0.50426,1.75073,1.47152,1.42912,1.39525e-05,1.39525e-05,1.39525e-05
34,160.123,1.00959,1.33708,1.28795,0.85084,0.56667,0.77084,0.50426,1.75073,1.47152,1.42912,1.3611e-05,1.3611e-05,1.3611e-05
35,164.142,0.94399,2.33498,1.34203,0.84013,0.56667,0.77068,0.50993,1.72366,1.47557,1.40887,1.32223e-05,1.32223e-05,1.32223e-05
36,168.191,1.0083,1.62623,1.24632,0.84013,0.56667,0.77068,0.50993,1.72366,1.47557,1.40887,1.27866e-05,1.27866e-05,1.27866e-05
37,172.961,0.75492,1.17248,1.1494,0.8295,0.56667,0.77043,0.50173,1.72044,1.49199,1.41073,1.23036e-05,1.23036e-05,1.23036e-05
38,177.458,0.53183,0.9033,0.99903,0.8295,0.56667,0.77043,0.50173,1.72044,1.49199,1.41073,1.17736e-05,1.17736e-05,1.17736e-05
39,181.989,0.6762,1.03487,1.04916,0.67138,0.6617,0.74258,0.47678,1.73307,1.53747,1.42491,1.11965e-05,1.11965e-05,1.11965e-05
40,187.02,0.77472,0.9628,1.16043,0.67138,0.6617,0.74258,0.47678,1.73307,1.53747,1.42491,1.05722e-05,1.05722e-05,1.05722e-05
41,191.539,0.90185,1.34674,1.29675,0.66299,0.65398,0.71115,0.44973,1.72287,1.56397,1.42572,9.9008e-06,9.9008e-06,9.9008e-06
42,195.728,0.65125,0.66959,0.97907,0.66299,0.65398,0.71115,0.44973,1.72287,1.56397,1.42572,9.18228e-06,9.18228e-06,9.18228e-06
43,200.411,0.60943,0.78838,1.05874,0.66637,0.68244,0.77035,0.50176,1.68861,1.52653,1.39945,8.41663e-06,8.41663e-06,8.41663e-06
44,204.805,0.6346,0.89881,1.17065,0.66637,0.68244,0.77035,0.50176,1.68861,1.52653,1.39945,7.60386e-06,7.60386e-06,7.60386e-06
45,208.954,0.64635,0.72706,1.06951,0.66686,0.67322,0.76349,0.49644,1.69154,1.53448,1.4027,6.74397e-06,6.74397e-06,6.74397e-06
46,212.657,0.72343,0.60126,1.00314,0.66686,0.67322,0.76349,0.49644,1.69154,1.53448,1.4027,5.83695e-06,5.83695e-06,5.83695e-06
47,216.621,0.67507,0.66996,1.02348,0.68702,0.67351,0.77125,0.49889,1.67181,1.49288,1.39109,4.88281e-06,4.88281e-06,4.88281e-06
48,220.91,0.61522,0.68026,1.04483,0.68702,0.67351,0.77125,0.49889,1.67181,1.49288,1.39109,3.88154e-06,3.88154e-06,3.88154e-06
49,224.649,0.72241,0.81944,1.02367,0.69815,0.67472,0.8531,0.57325,1.68533,1.47908,1.39818,2.83315e-06,2.83315e-06,2.83315e-06
50,228.43,0.56931,0.7308,0.97953,0.69815,0.67472,0.8531,0.57325,1.68533,1.47908,1.39818,1.73764e-06,1.73764e-06,1.73764e-06
