epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.42928,1.33611,2.86921,1.64364,0.57453,0.85,0.87817,0.63489,1.64855,1.07041,1.38313,0,0,0
2,6.28141,1.20416,2.69406,1.511,0.56574,0.85,0.8488,0.6319,1.64595,1.06034,1.37349,1.17822e-06,1.17822e-06,1.17822e-06
3,9.06337,1.16009,3.63341,1.57315,0.55956,0.85,0.85083,0.61618,1.66648,1.0611,1.37909,2.33288e-06,2.33288e-06,2.33288e-06
4,12.6621,1.27724,2.74018,1.38866,0.56026,0.85,0.84952,0.61586,1.66034,1.05357,1.37779,3.46397e-06,3.46397e-06,3.46397e-06
5,15.3106,1.37198,3.08503,1.72634,0.5651,0.85,0.85526,0.63771,1.6585,1.04085,1.37136,4.5715e-06,4.5715e-06,4.5715e-06
6,20.7157,1.56189,4.11418,1.96485,0.54414,0.85,0.8936,0.63825,1.68524,1.05847,1.37761,5.65548e-06,5.65548e-06,5.65548e-06
7,23.4705,1.13976,1.91306,1.41952,0.53944,0.85172,0.89406,0.64255,1.68389,1.05926,1.37699,6.71588e-06,6.71588e-06,6.71588e-06
8,25.9836,1.37611,4.01878,1.61443,0.55029,0.85949,0.85911,0.61257,1.64324,1.0573,1.3529,7.75273e-06,7.75273e-06,7.75273e-06
9,28.508,1.11618,2.70406,1.41099,0.56884,0.86386,0.81827,0.59503,1.66472,1.05931,1.36335,8.76602e-06,8.76602e-06,8.76602e-06
10,30.8282,1.18655,3.4473,1.59516,0.57996,0.86406,0.81417,0.59502,1.65654,1.0565,1.35665,9.75574e-06,9.75574e-06,9.75574e-06
11,33.2208,1.20761,2.4692,1.45278,0.59064,0.8637,0.85595,0.61995,1.6537,1.06313,1.35595,1.07219e-05,1.07219e-05,1.07219e-05
12,35.9447,0.9914,2.00611,1.36598,0.58565,0.86399,0.85561,0.62083,1.66274,1.07365,1.36357,1.16645e-05,1.16645e-05,1.16645e-05
13,38.9421,0.87115,2.2381,1.132,0.59052,0.86667,0.85501,0.62082,1.64956,1.07339,1.35354,1.25835e-05,1.25835e-05,1.25835e-05
14,41.4776,1.0832,2.18871,1.4836,0.59793,0.86667,0.88803,0.62731,1.65287,1.09391,1.35796,1.3479e-05,1.3479e-05,1.3479e-05
15,43.9113,0.92887,1.64808,1.12293,0.60723,0.86667,0.88802,0.62731,1.65193,1.1015,1.35905,1.43509e-05,1.43509e-05,1.43509e-05
16,46.6407,1.22336,2.48055,1.62356,0.61055,0.86667,0.87512,0.62676,1.66354,1.12302,1.36866,1.51993e-05,1.51993e-05,1.51993e-05
17,49.1194,0.84439,1.78458,1.19115,0.62052,0.7,0.87291,0.62795,1.66267,1.13338,1.37159,1.60241e-05,1.60241e-05,1.60241e-05
18,52.1468,1.1567,1.55192,1.36044,0.62052,0.7,0.87291,0.62795,1.66267,1.13338,1.37159,1.68253e-05,1.68253e-05,1.68253e-05
19,54.896,0.97843,1.90563,1.1355,0.77483,0.65,0.86188,0.61114,1.66974,1.17698,1.38057,1.7603e-05,1.7603e-05,1.7603e-05
20,57.3424,0.89711,1.53574,1.21097,0.77483,0.65,0.86188,0.61114,1.66974,1.17698,1.38057,1.83571e-05,1.83571e-05,1.83571e-05
21,59.9292,1.29223,2.49851,1.71343,0.77119,0.65,0.85531,0.6099,1.68239,1.21228,1.38742,1.90876e-05,1.90876e-05,1.90876e-05
22,62.5432,1.08325,2.33907,1.51913,0.77119,0.65,0.85531,0.6099,1.68239,1.21228,1.38742,1.97946e-05,1.97946e-05,1.97946e-05
23,65.1208,1.05868,1.82063,1.47226,0.74589,0.65,0.85514,0.6192,1.68139,1.23201,1.38513,2.0478e-05,2.0478e-05,2.0478e-05
24,67.8439,1.12425,2.21395,1.54038,0.74589,0.65,0.85514,0.6192,1.68139,1.23201,1.38513,2.11379e-05,2.11379e-05,2.11379e-05
25,70.6136,0.83464,1.46993,1.21033,0.71049,0.65473,0.85534,0.61104,1.68177,1.27398,1.38484,2.17741e-05,2.17741e-05,2.17741e-05
26,72.9804,1.15282,1.85952,1.45066,0.71049,0.65473,0.85534,0.61104,1.68177,1.27398,1.38484,2.23869e-05,2.23869e-05,2.23869e-05
27,75.4282,0.91843,1.67098,1.39784,0.70524,0.6685,0.85545,0.61336,1.70263,1.30263,1.3997,2.2976e-05,2.2976e-05,2.2976e-05
28,77.8208,0.80107,1.24172,1.1405,0.70524,0.6685,0.85545,0.61336,1.70263,1.30263,1.3997,2.35417e-05,2.35417e-05,2.35417e-05
29,80.2461,0.99737,1.52716,1.27177,0.70067,0.67248,0.85551,0.61082,1.67136,1.30983,1.37932,2.40837e-05,2.40837e-05,2.40837e-05
30,82.9297,1.26561,2.34979,1.59811,0.70067,0.67248,0.85551,0.61082,1.67136,1.30983,1.37932,2.46022e-05,2.46022e-05,2.46022e-05
31,85.8208,0.97959,1.43339,1.29407,0.69189,0.66667,0.85204,0.60885,1.68169,1.34656,1.38517,2.50971e-05,2.50971e-05,2.50971e-05
32,88.4197,0.81027,1.26021,1.21402,0.69189,0.66667,0.85204,0.60885,1.68169,1.34656,1.38517,2.55685e-05,2.55685e-05,2.55685e-05
33,91.026,0.78159,1.31857,1.3426,0.67239,0.68913,0.85241,0.60751,1.66716,1.37791,1.38123,2.60163e-05,2.60163e-05,2.60163e-05
34,93.7233,1.05737,1.25162,1.31048,0.67239,0.68913,0.85241,0.60751,1.66716,1.37791,1.38123,2.64405e-05,2.64405e-05,2.64405e-05
35,96.1837,0.88717,2.16525,1.30328,0.66429,0.7,0.85262,0.59109,1.68206,1.41237,1.38934,2.68412e-05,2.68412e-05,2.68412e-05
36,98.9361,0.96222,1.47732,1.20112,0.66429,0.7,0.85262,0.59109,1.68206,1.41237,1.38934,2.72183e-05,2.72183e-05,2.72183e-05
37,101.826,0.78399,1.11465,1.17307,0.64699,0.7,0.8524,0.5836,1.65027,1.4478,1.37149,2.75718e-05,2.75718e-05,2.75718e-05
38,104.389,0.45793,0.70339,0.96923,0.64699,0.7,0.8524,0.5836,1.65027,1.4478,1.37149,2.79018e-05,2.79018e-05,2.79018e-05
39,107.172,0.64687,0.93533,1.0205,0.67389,0.69072,0.85257,0.56179,1.6259,1.47952,1.36618,2.82082e-05,2.82082e-05,2.82082e-05
40,109.949,0.80209,0.83736,1.16677,0.67389,0.69072,0.85257,0.56179,1.6259,1.47952,1.36618,2.84911e-05,2.84911e-05,2.84911e-05
41,112.535,0.75766,0.92576,1.06114,0.68205,0.6655,0.76929,0.48791,1.59588,1.48966,1.358,2.87504e-05,2.87504e-05,2.87504e-05
42,115.912,0.88006,1.88286,1.27727,0.68205,0.6655,0.76929,0.48791,1.59588,1.48966,1.358,2.89861e-05,2.89861e-05,2.89861e-05
43,118.675,0.84656,1.2215,1.22837,0.67827,0.65,0.76238,0.47306,1.62255,1.52911,1.38584,2.91983e-05,2.91983e-05,2.91983e-05
44,121.402,1.07492,0.98523,1.45128,0.67827,0.65,0.76238,0.47306,1.62255,1.52911,1.38584,2.93869e-05,2.93869e-05,2.93869e-05
45,124.035,0.61286,0.925,0.9946,0.69172,0.65,0.76251,0.47229,1.61092,1.54557,1.38233,2.9552e-05,2.9552e-05,2.9552e-05
46,126.44,0.81895,0.99714,1.26849,0.69172,0.65,0.76251,0.47229,1.61092,1.54557,1.38233,2.96935e-05,2.96935e-05,2.96935e-05
47,129.147,0.8852,1.46206,1.36104,0.7361,0.65,0.7323,0.43907,1.62361,1.60177,1.38839,2.98114e-05,2.98114e-05,2.98114e-05
48,132.175,0.78688,1.63244,1.172,0.7361,0.65,0.7323,0.43907,1.62361,1.60177,1.38839,2.99058e-05,2.99058e-05,2.99058e-05
49,134.869,0.67313,0.72239,1.24554,0.68327,0.65151,0.70529,0.41424,1.62503,1.62171,1.38942,2.99766e-05,2.99766e-05,2.99766e-05
50,137.362,0.80285,0.81117,1.2945,0.68327,0.65151,0.70529,0.41424,1.62503,1.62171,1.38942,3.00238e-05,3.00238e-05,3.00238e-05
51,139.916,0.85905,0.83731,1.15602,0.65652,0.67662,0.69629,0.40609,1.59389,1.63425,1.38257,3.00475e-05,3.00475e-05,3.00475e-05
52,142.387,0.9745,0.96797,1.34791,0.65652,0.67662,0.69629,0.40609,1.59389,1.63425,1.38257,3.00476e-05,3.00476e-05,3.00476e-05
53,145.038,0.64641,0.70007,1.17845,0.65652,0.67662,0.69629,0.40609,1.59389,1.63425,1.38257,3.00242e-05,3.00242e-05,3.00242e-05
54,148.149,0.78509,0.9019,1.23274,0.69049,0.67146,0.69636,0.4082,1.57913,1.67511,1.38315,2.99772e-05,2.99772e-05,2.99772e-05
